#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime
4C|KES14|38.163879|20.502131|1|Farm field, near the main road and the dog fence|2011-09-18T07:00:00|2012-04-18T15:40:00
4C|KES16|38.16383|20.500669|5|Farm field, after the end of the gravel road|2011-09-17T14:10:00|2012-04-18T14:40:00
4C|KES18|38.16346|20.498949|8|Farm field, close to the stone wall|2011-09-17T17:10:00|2012-04-18T13:40:00
4C|KES20|38.16312|20.49746|19|Police station|2014-02-04T00:00:00|2014-05-21T00:00:00
4C|KES22|38.15987|20.494961|64|Botanica garden|2011-09-17T07:40:00|2012-04-18T09:10:00
4C|KES29|38.16048|20.52121|6|Private farm field, east of the transverse transect|2011-09-18T09:40:00|2012-04-20T13:50:00
4P|IT01A|45.379418|8.768451|174|Cassolnovo (PV)|2022-12-12T00:00:00|2032-12-12T12:00:00
4P|IT02A|45.622598|8.361122|413|Gattinara (VC)|2022-12-12T12:00:00|2032-12-12T12:00:00
4P|IT03A|45.237928|8.288635|190|Tricerro (VC)|2022-12-12T12:00:00|2032-12-12T12:00:00
4P|IT04A|45.137131|9.383602|103|Costa de Nobili (PV)|2022-12-12T12:00:00|2032-12-12T12:00:00
4P|IT05A|46.047153|9.761312|1784|Foppolo|2023-01-25T10:00:00|2023-04-29T23:59:00
4P|IT06A|44.535805|7.880076|399|Costamagna|2023-02-28T20:00:00|2033-02-20T20:00:00
4P|IT07A|44.873936|9.836959|182|Castel Arquato|2023-03-02T20:00:00|2033-03-02T20:00:00
4P|IT08A|44.983948|12.069651|60|Panarella|2023-03-01T20:00:00|2033-03-01T20:00:00
4P|IT09A|44.660509|11.435935|45|Bentivoglio|2023-03-01T20:00:00|2033-03-01T20:00:00
4P|IT20A|40.94291|8.204208|123|Agriturismo De Palmas, Stintino OR|2023-09-27T00:00:00|2026-02-09T14:50:00
4P|IT21A|39.701931|8.779794|139|Geomuseo Masullas OR|2023-09-28T00:00:00|2026-02-10T15:00:00
4P|IT22A|38.98942|8.9235|134|Pula (CA)|2024-05-14T11:00:00|2026-02-04T08:40:00
4P|IT23A|40.23697|8.71566|637|Macomer|2024-03-15T00:00:00|2026-02-10T11:50:00
4P|IT24A|40.50692|8.34878|97|Torre Poglina (Alghero)|2023-09-28T00:00:00|2026-02-10T09:40:00
4P|IT26A|40.814805|9.462162|278|Berchideddu (SS)|2023-09-30T00:00:00|2026-02-10T08:30:00
4P|IT27A|39.934003|9.515837|1158|Parco Santa Barbara NU|2023-09-28T00:00:00|2026-02-11T10:50:00
4P|IT28A|40.789552|8.79956|249|Su Cuile Martis|2023-09-28T00:00:00|2026-02-09T08:40:00
4S|A143|37.69320796|14.97451278|1760.3|Point A143 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A144|37.69321471|14.97450574|1759.93|Point A144 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A145|37.69322147|14.9744986|1759.55|Point A145 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A146|37.69322823|14.97449156|1759.18|Point A146 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A147|37.69323499|14.97448441|1758.8|Point A147 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A148|37.69324175|14.97447738|1758.43|Point A148 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A149|37.69324851|14.97447023|1758.05|Point A149 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A150|37.69325526|14.97446319|1757.68|Point A150 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A151|37.69326202|14.97445605|1757.3|Point A151 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A152|37.69327266|14.974454|1757.24|Point A152 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A153|37.6932832|14.97445207|1757.18|Point A153 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A154|37.69329384|14.97445002|1757.12|Point A154 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A155|37.69330447|14.97444798|1757.06|Point A155 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A156|37.69331502|14.97444605|1757.01|Point A156 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A157|37.69332566|14.974444|1756.95|Point A157 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A158|37.69333629|14.97444196|1756.89|Point A158 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A159|37.69334684|14.97444002|1756.83|Point A159 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A160|37.69335747|14.97443798|1756.77|Point A160 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A161|37.69336802|14.97443605|1756.71|Point A161 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A162|37.69337865|14.974434|1756.65|Point A162 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A163|37.69338929|14.97443196|1756.59|Point A163 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A164|37.69339983|14.97443002|1756.54|Point A164 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A165|37.69341047|14.97442798|1756.48|Point A165 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
4S|A166|37.6934211|14.97442593|1756.42|Point A166 - Etna Serra La Nave Fibre, Ragalna (CT), Italy|2023-02-01T00:00:00|2023-02-28T23:59:59
