# per-window evidence behind the reported selection
# estimator=phase reference=first looks=256 overlap=0 dt_s=0.0234529732963 t_sap_s=0.0234529732963
# win_az=32 win_rg=32 stride_az=16 stride_rg=16 upsample_az=200 coherence_min=0 inject_vib=no
# consensus_hz=1.83212377625 agree=9 voting=225 distinct=75 largest_block=4
# modal_lead_hz=0
# df_hz=0.166556706932 quant_px=0 coherence_gate=0.377156494328 floor_px=0 n_win_az=15 n_win_rg=15
# cull_hz=1.33245365546 agree=8 input=225 survivors=88 snr_cull=0 sigma_cull=0 neigh_cull=137 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
# amplitude_dispersion best=0.471822627513 median=0.54483148903 n_meeting_0.25=0
# passed_cull_source=selector expected_sum=88
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,d_a,passed_gates,agrees_with_consensus,passed_cull,floor_mm
55,3,10,1.99868048319,4.36392960101,0.643588724083,0,0,0,0.511971099907,1,0,1,0.402417289121
56,3,11,1.99868048319,4.36392960101,0.663653881131,0,0,0,0.511971099907,1,0,1,0.402417289121
57,3,12,4.99670120796,4.32292691932,0.628102570434,0,0,0,0.540907835842,1,0,0,0.413746128976
58,3,13,4.99670120796,4.32292691932,0.656847520113,0,0,0,0.540907835842,1,0,0,0.413746128976
59,3,14,20.4864749527,10.1464312833,0.642613022244,0,0,0,0.521370222107,1,0,0,0.412889189775
60,4,0,19.3205780041,4.68312357403,0.662882489111,0,0,0,0.54285787396,1,0,0,0.399217949366
61,4,1,11.9920828991,3.69732613417,0.709565087838,0,0,0,0.575328683548,1,0,1,0.421365634352
62,4,2,11.9920828991,3.69732613417,0.708449648925,0,0,0,0.575328683548,1,0,1,0.421365634352
63,4,3,3.49769084557,5.17895545344,0.706234183974,0,0,0,0.510996607934,1,0,0,0.406254584782
64,4,4,3.49769084557,5.17895545344,0.69274511177,0,0,0,0.510996607934,1,0,0,0.406254584782
65,4,5,9.16061888127,8.01863470332,0.607545780466,0,0,0,0.543436579253,1,0,0,0.419770121511
66,4,6,16.6556706932,6.08280285335,0.62929100122,0,0,0,0.548571631151,1,0,0,0.449834299328
67,4,7,0.499670120796,4.5475790475,0.737594025423,0,0,0,0.542386052617,1,0,0,0.349729784891
68,4,8,0.499670120796,4.5475790475,0.661596710044,0,0,0,0.542386052617,1,0,0,0.349729784891
69,4,9,14.9901036239,6.9271333766,0.582886953955,0,0,0,0.568688726539,1,0,0,0.365270619611
70,4,10,1.99868048319,4.36392960101,0.639469773475,0,0,0,0.511971099907,1,0,1,0.402417289121
71,4,11,1.99868048319,4.36392960101,0.655981193677,0,0,0,0.511971099907,1,0,1,0.402417289121
72,4,12,2.99802072478,3.65565032706,0.672716419911,0,0,0,0.54182747141,1,0,1,0.391616351311
73,4,13,2.99802072478,3.65565032706,0.691222638711,0,0,0,0.54182747141,1,0,1,0.391616351311
74,4,14,4.6635877941,5.54433940077,0.686027453461,0,0,0,0.574095698545,1,0,0,0.37845171104
75,5,0,20.4864749527,5.4764674178,0.634410815386,0,0,0,0.510157499946,1,0,0,0.408159088683
76,5,1,14.65699021,5.52612541362,0.695157599783,0,0,0,0.524161271164,1,0,1,0.448314534551
77,5,2,14.65699021,5.52612541362,0.701767452606,0,0,0,0.524161271164,1,0,1,0.448314534551
78,5,3,15.4897737447,4.68449274357,0.729407029005,0,0,0,0.533121336501,1,0,0,0.403503541318
79,5,4,15.4897737447,4.68449274357,0.708231439193,0,0,0,0.533121336501,1,0,0,0.403503541318
80,5,5,12.9914231407,7.72945702466,0.632379609926,0,0,0,0.509523139733,1,0,0,0.408043083678
81,5,6,16.6556706932,6.08280285335,0.611757928588,0,0,0,0.548571631151,1,0,0,0.449834299328
82,5,7,1.33245365546,7.90662806134,0.732605076768,0,0,0,0.555181219023,1,0,1,0.359714160865
83,5,8,1.33245365546,7.90662806134,0.672514840327,0,0,0,0.555181219023,1,0,1,0.359714160865
84,5,9,2.33179389705,5.54285379987,0.617848970037,0,0,0,0.557558640752,1,0,0,0.405120281466
85,5,10,3.33113413864,5.06328880972,0.626605366618,0,0,0,0.5297662214,1,0,0,0.40796644672
86,5,11,3.33113413864,5.06328880972,0.634355780168,0,0,0,0.5297662214,1,0,0,0.40796644672
87,5,12,2.99802072478,3.65565032706,0.681258630689,0,0,0,0.54182747141,1,0,1,0.391616351311
88,5,13,2.99802072478,3.65565032706,0.701304932899,0,0,0,0.54182747141,1,0,1,0.391616351311
89,5,14,20.9861450734,4.33526973515,0.726690736712,0,0,0,0.58910969328,1,0,0,0.425101154623
90,6,0,7.16193839808,7.30500281126,0.659072307378,0,0,0,0.589045612207,1,0,0,0.334069639551
91,6,1,14.65699021,5.52612541362,0.689007985121,0,0,0,0.524161271164,1,0,1,0.448314534551
92,6,2,14.65699021,5.52612541362,0.702508999662,0,0,0,0.524161271164,1,0,1,0.448314534551
93,6,3,13.4910932615,4.21915117776,0.72560718227,0,0,0,0.556073885104,1,0,0,0.364407297069
94,6,4,13.4910932615,4.21915117776,0.703175290761,0,0,0,0.556073885104,1,0,0,0.364407297069
95,6,5,14.3238767962,5.40482666964,0.674588986865,0,0,0,0.54483148903,1,0,0,0.402180950709
96,6,6,19.1540212972,4.55635161312,0.606204628361,0,0,0,0.528035618884,1,0,0,0.411615490688
97,6,7,1.33245365546,7.90662806134,0.739341776514,0,0,0,0.555181219023,1,0,1,0.359714160865
98,6,8,1.33245365546,7.90662806134,0.690670875417,0,0,0,0.555181219023,1,0,1,0.359714160865
99,6,9,19.4871347111,7.55744433913,0.628762737575,0,0,0,0.577372676464,1,0,0,0.367150951087
100,6,10,2.33179389705,5.54285379987,0.609076228156,0,0,0,0.557558640752,1,0,0,0.405120281466
101,6,11,18.8209078833,4.93598503364,0.636156781751,0,0,0,0.553929636338,1,0,0,0.382992687914
102,6,12,2.49835060398,7.15693620832,0.652811125356,0,0,0,0.560122151542,1,0,0,0.405844197091
103,6,13,12.9914231407,5.01050450183,0.710582883485,0,0,0,0.569029120897,1,0,1,0.389130521497
104,6,14,12.9914231407,5.01050450183,0.746930286156,0,0,0,0.569029120897,1,0,1,0.389130521497
105,7,0,7.16193839808,7.30500281126,0.655929242165,0,0,0,0.589045612207,1,0,0,0.334069639551
106,7,1,9.826845709,5.98884985394,0.651499553949,0,0,0,0.564056574418,1,0,0,0.383686744129
107,7,2,1.16589694852,5.4876364466,0.68755686444,0,0,0,0.518318814337,1,0,0,0.404052999687
108,7,3,12.6583097268,5.70588997034,0.719300180729,0,0,0,0.560992152203,1,0,1,0.432008172627
109,7,4,12.6583097268,5.70588997034,0.716663824573,0,0,0,0.560992152203,1,0,0,0.432008172627
110,7,5,6.16259815649,5.51755586572,0.688748208147,0,0,0,0.554728195702,1,0,0,0.441303795643
111,7,6,6.16259815649,5.51755586572,0.713531246125,0,0,0,0.554728195702,1,0,0,0.441303795643
112,7,7,9.99340241593,5.81691963818,0.733328206197,0,0,0,0.518080030864,1,0,0,0.340319960176
113,7,8,19.4871347111,7.55744433913,0.686981851765,0,0,0,0.577372676464,1,0,0,0.367150951087
114,7,9,19.4871347111,7.55744433913,0.616492123073,0,0,0,0.577372676464,1,0,1,0.367150951087
