scene,net,sta,cha,sps,lat,lon,name,rms_um,peak_um,above_floor
CAPELLA_C13_SP_CPHD_HH_20241009004436_20241009004512,HV,PAUD,HHE,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",1.7149,3.8027,0
CAPELLA_C13_SP_CPHD_HH_20241009004436_20241009004512,HV,PAUD,HHN,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",1.8078,5.4371,0
CAPELLA_C13_SP_CPHD_HH_20241009004436_20241009004512,HV,PAUD,HHZ,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",1.2998,3.0378,0
CAPELLA_C13_SP_CPHD_HH_20241009004436_20241009004512,HV,PAUD,HNE,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",0.0493,0.1508,0
CAPELLA_C13_SP_CPHD_HH_20241009004436_20241009004512,HV,PAUD,HNN,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",0.0899,0.3134,0
CAPELLA_C13_SP_CPHD_HH_20241009004436_20241009004512,HV,PAUD,HNZ,100.0,19.373785,-155.2155,"Pauahi, Hawaii Digital",0.0452,0.1511,0
CAPELLA_C13_SP_CPHD_HH_20241114042855_20241114042929,AM,RC269,EHZ,100.0,47.47747747747748,19.049177505045154,Raspberry Shake Citizen Science Station,0.1309,0.4031,0
CAPELLA_C15_SP_CPHD_HH_20241114212350_20241114212427,AM,RC269,EHZ,100.0,47.47747747747748,19.049177505045154,Raspberry Shake Citizen Science Station,0.1185,0.2765,0
CAPELLA_C15_SP_CPHD_HH_20241115212743_20241115212823,AM,RC269,EHZ,100.0,47.47747747747748,19.049177505045154,Raspberry Shake Citizen Science Station,0.106,0.343,0
CAPELLA_C11_SP_CPHD_HH_20241121042705_20241121042736,IU,RAR,BH1,40.0,-21.2125,-159.7733,"Rarotonga, Cook Islands",1.8251,4.3054,0
CAPELLA_C11_SP_CPHD_HH_20241121042705_20241121042736,IU,RAR,BH2,40.0,-21.2125,-159.7733,"Rarotonga, Cook Islands",1.2916,3.2326,0
CAPELLA_C11_SP_CPHD_HH_20241121042705_20241121042736,IU,RAR,BHZ,40.0,-21.2125,-159.7733,"Rarotonga, Cook Islands",1.0716,2.9716,0
CAPELLA_C11_SP_CPHD_HH_20241121042705_20241121042736,IU,RAR,BH1,40.0,-21.2125,-159.7733,"Rarotonga, Cook Islands",1.3121,3.3021,0
CAPELLA_C11_SP_CPHD_HH_20241121042705_20241121042736,IU,RAR,BH2,40.0,-21.2125,-159.7733,"Rarotonga, Cook Islands",1.8732,4.3667,0
CAPELLA_C11_SP_CPHD_HH_20241121042705_20241121042736,IU,RAR,BHZ,40.0,-21.2125,-159.7733,"Rarotonga, Cook Islands",1.0778,3.0247,0
CAPELLA_C14_SP_CPHD_HH_20241121212541_20241121212609,HI,ATH5,HNE,100.0,37.975421,23.737098,"Greek Parliament,Athens,Attica",0.0169,0.0621,0
