# per-window evidence behind the reported selection
# consensus_hz=0.195402297397 agree=27 voting=170 distinct=12 largest_block=9
# df_hz=0.0325670495661 quant_px=0 coherence_gate=0.309742440838 floor_px=0 n_win_az=15 n_win_rg=15
# cull_hz=0.0651340991323 agree=18 input=170 survivors=65 snr_cull=0 sigma_cull=0 neigh_cull=105 snr_gate=0 snr_null=0 sigma_gate_px=0 gates=0
window,iaz,irg,dominant_hz,prominence,quality,excursion_px,snr,sigma_px,passed_gates,agrees_with_consensus,passed_cull
185,12,5,0.260536396529,8.20882976912,0.462448940523,0,0,0,1,0,1
186,12,6,0.162835247831,8.81668673593,0.533685196066,0,0,0,1,0,1
187,12,7,0.162835247831,8.81668673593,0.533685196066,0,0,0,1,0,1
188,12,8,0.130268198265,13.9602649379,0.44894961007,0,0,0,1,0,1
189,12,9,0.162835247831,7.93115116768,0.357700083982,0,0,0,1,0,1
190,12,10,0.162835247831,8.13662816386,0,0,0,0,0,0,0
191,12,11,0.162835247831,8.13662816386,0,0,0,0,0,0,0
192,12,12,0.0651340991323,3.23062251372,0.0839352318265,0,0,0,0,0,0
193,12,13,0.325670495661,10.3751880722,0.30209396302,0,0,0,0,0,0
194,12,14,0.325670495661,10.3751880722,0.30209396302,0,0,0,0,0,0
195,13,0,0.260536396529,9.9062750754,0.166373693163,0,0,0,0,0,0
196,13,1,0.227969346963,4.06386123758,0.479603440635,0,0,0,1,0,1
197,13,2,0.130268198265,9.23960381485,0.362549608618,0,0,0,1,0,1
198,13,3,0.0325670495661,7.71967343879,0.226809900903,0,0,0,0,0,0
199,13,4,0.0325670495661,7.71967343879,0.226809900903,0,0,0,0,0,0
