scene,dwell_s,net,sta,lat,lon,name,datacentre,start,end,waveform_bytes,rms_um,peak_um,chan,note
CAPELLA_C14_SP_CPHD_HH_20240607024429_20240607024457,28.2,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-07T02:44:57Z,2024-06-07T02:45:25Z,18944,3.4509,13.9273,HHN,
CAPELLA_C14_SP_CPHD_HH_20240630171031_20240630171100,28.2,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-06-30T17:10:59Z,2024-06-30T17:11:27Z,17920,0.8021,4.0577,HHN,
CAPELLA_C14_SP_CPHD_HH_20240604035617_20240604035645,28.2,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-06-04T03:56:45Z,2024-06-04T03:57:13Z,16896,1.6892,7.7533,HHE,
CAPELLA_C14_SP_CPHD_HH_20240627182210_20240627182238,28.2,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-06-27T18:22:39Z,2024-06-27T18:23:07Z,15360,0.8787,3.8530,HHN,
CAPELLA_C14_SP_CPHD_HH_20240627182210_20240627182238,28.2,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-06-27T18:22:39Z,2024-06-27T18:23:07Z,14848,0.8782,3.3513,HHN,
CAPELLA_C14_SP_CPHD_HH_20240604035617_20240604035645,28.2,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-06-04T03:56:45Z,2024-06-04T03:57:13Z,14848,1.6931,7.6857,HHN,
CAPELLA_C14_SP_CPHD_HH_20240604035617_20240604035645,28.2,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-06-04T03:56:45Z,2024-06-04T03:57:13Z,14848,2.8276,11.0729,HHE,
CAPELLA_C14_SP_CPHD_HH_20240715111140_20240715111208,28.2,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-07-15T11:12:08Z,2024-07-15T11:12:36Z,14848,0.9058,4.1781,HHN,
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313,28.2,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-06-10T01:33:13Z,2024-06-10T01:33:41Z,14336,2.1647,9.1258,HHN,
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313,28.2,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-06-10T01:33:13Z,2024-06-10T01:33:41Z,14336,2.2309,10.6593,HHE,
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313,28.2,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-06-10T01:33:13Z,2024-06-10T01:33:41Z,14336,38.2335,162.0554,HHE,
CAPELLA_C14_SP_CPHD_HH_20240715111140_20240715111208,28.2,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-07-15T11:12:08Z,2024-07-15T11:12:36Z,14336,0.9356,4.4530,HHN,
CAPELLA_C14_SP_CPHD_HH_20240627182210_20240627182238,28.2,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-06-27T18:22:39Z,2024-06-27T18:23:07Z,13824,3.0959,14.3491,HHE,
CAPELLA_C14_SP_CPHD_HH_20240709133511_20240709133539,28.2,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-07-09T13:35:39Z,2024-07-09T13:36:07Z,13824,1.2273,6.9081,HHN,
CAPELLA_C14_SP_CPHD_HH_20240709133511_20240709133539,28.2,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-07-09T13:35:39Z,2024-07-09T13:36:07Z,13824,1.2825,6.2528,HHN,
CAPELLA_C14_SP_CPHD_HH_20240709133511_20240709133539,28.2,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-07-09T13:35:39Z,2024-07-09T13:36:07Z,13824,3.8017,16.6680,HHE,
CAPELLA_C14_SP_CPHD_HH_20240610013244_20240610013313,28.2,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-06-10T01:33:13Z,2024-06-10T01:33:41Z,12800,6.2841,28.2983,HHE,
CAPELLA_C14_SP_CPHD_HH_20240630171031_20240630171100,28.2,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-06-30T17:10:59Z,2024-06-30T17:11:27Z,12288,0.7604,3.4460,HHE,
CAPELLA_C14_SP_CPHD_HH_20240607024429_20240607024457,28.2,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-06-07T02:44:57Z,2024-06-07T02:45:25Z,12288,3.4589,13.8899,HHE,
CAPELLA_C14_SP_CPHD_HH_20240712122324_20240712122353,28.2,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-07-12T12:23:53Z,2024-07-12T12:24:21Z,12288,0.8812,3.9181,HHN,
CAPELLA_C14_SP_CPHD_HH_20240627182210_20240627182238,28.2,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-06-27T18:22:39Z,2024-06-27T18:23:07Z,11776,62.6769,178.6921,HHN,
CAPELLA_C14_SP_CPHD_HH_20240630171031_20240630171100,28.2,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-06-30T17:10:59Z,2024-06-30T17:11:27Z,11264,1.0756,4.1644,HHE,
CAPELLA_C14_SP_CPHD_HH_20240607024429_20240607024457,28.2,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-06-07T02:44:57Z,2024-06-07T02:45:25Z,11264,2.3572,8.9480,HHN,
CAPELLA_C14_SP_CPHD_HH_20240607024429_20240607024457,28.2,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-06-07T02:44:57Z,2024-06-07T02:45:25Z,11264,2.1719,8.2845,HHE,
CAPELLA_C14_SP_CPHD_HH_20240712122324_20240712122353,28.2,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-07-12T12:23:53Z,2024-07-12T12:24:21Z,11264,0.9290,4.7552,HHN,
CAPELLA_C14_SP_CPHD_HH_20240604035617_20240604035645,28.2,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-06-04T03:56:45Z,2024-06-04T03:57:13Z,10752,10.8571,39.0509,HHE,
CAPELLA_C14_SP_CPHD_HH_20240607024429_20240607024457,28.2,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-06-07T02:44:57Z,2024-06-07T02:45:25Z,10752,22.0533,77.1352,HHE,
CAPELLA_C14_SP_CPHD_HH_20240630171031_20240630171100,28.2,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-06-30T17:10:59Z,2024-06-30T17:11:27Z,9216,3.0393,15.8915,HHE,
CAPELLA_C15_SP_CPHD_HH_20241006083015_20241006083043,27.9,HV,PAUD,19.373785,-155.2155,"Pauahi, Hawaii Digital",IRISDMC,2024-10-06T08:30:43Z,2024-10-06T08:31:10Z,18432,1.7247,5.8267,HHE,
CAPELLA_C10_SP_CPHD_HH_20240622045032_20240622045100,27.7,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-22T04:50:32Z,2024-06-22T04:50:59Z,24064,2.2664,7.9575,HHE,
CAPELLA_C10_SP_CPHD_HH_20240622045032_20240622045100,27.7,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-06-22T04:50:32Z,2024-06-22T04:50:59Z,23040,1.6110,7.9345,HHN,
