scene,dwell_s,net,sta,lat,lon,name,datacentre,start,end,waveform_bytes
CAPELLA_C09_SP_CPHD_HH_20240614221859_20240614221928,29.0,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-06-14T22:18:59Z,2024-06-14T22:19:27Z,16384
CAPELLA_C09_SP_CPHD_HH_20240614221859_20240614221928,29.0,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-06-14T22:18:59Z,2024-06-14T22:19:27Z,14848
CAPELLA_C09_SP_CPHD_HH_20240614221859_20240614221928,29.0,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-06-14T22:18:59Z,2024-06-14T22:19:27Z,14848
CAPELLA_C09_SP_CPHD_HH_20240614221859_20240614221928,29.0,HV,UWB,19.42476,-155.277582,Uwekahuna Bluff Hawaii,IRISDMC,2024-06-14T22:18:59Z,2024-06-14T22:19:27Z,11264
CAPELLA_C14_SP_CPHD_HH_20240623052958_20240623053027,28.8,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-23T05:30:27Z,2024-06-23T05:30:55Z,23040
CAPELLA_C14_SP_CPHD_HH_20240620064136_20240620064205,28.8,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-20T06:42:05Z,2024-06-20T06:42:33Z,21504
CAPELLA_C14_SP_CPHD_HH_20240617075329_20240617075357,28.8,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-17T07:53:57Z,2024-06-17T07:54:25Z,19968
CAPELLA_C14_SP_CPHD_HH_20240623052958_20240623053027,28.8,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-06-23T05:30:27Z,2024-06-23T05:30:55Z,19968
CAPELLA_C14_SP_CPHD_HH_20240617075329_20240617075357,28.8,HV,RIMD,19.395368,-155.273643,Caldera Rim Hawaii Digital,IRISDMC,2024-06-17T07:53:57Z,2024-06-17T07:54:25Z,19456
CAPELLA_C14_SP_CPHD_HH_20240620064136_20240620064205,28.8,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-20T06:42:05Z,2024-06-20T06:42:33Z,19456
CAPELLA_C14_SP_CPHD_HH_20240623052958_20240623053027,28.8,HV,UWE,19.420972,-155.291162,Uwekahuna Vault Hawaii,IRISDMC,2024-06-23T05:30:27Z,2024-06-23T05:30:55Z,18944
CAPELLA_C14_SP_CPHD_HH_20240617075329_20240617075357,28.8,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-06-17T07:53:57Z,2024-06-17T07:54:25Z,18432
CAPELLA_C14_SP_CPHD_HH_20240620064136_20240620064205,28.8,HV,KKO,19.398242,-155.266032,Keanakakoi Crater,IRISDMC,2024-06-20T06:42:05Z,2024-06-20T06:42:33Z,18432
CAPELLA_C14_SP_CPHD_HH_20240620064136_20240620064205,28.8,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-06-20T06:42:05Z,2024-06-20T06:42:33Z,13312
CAPELLA_C14_SP_CPHD_HH_20240623052958_20240623053027,28.8,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-06-23T05:30:27Z,2024-06-23T05:30:55Z,13312
CAPELLA_C14_SP_CPHD_HH_20240617075329_20240617075357,28.8,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-06-17T07:53:57Z,2024-06-17T07:54:25Z,12800
CAPELLA_C14_SP_CPHD_HH_20240623052958_20240623053027,28.8,HV,SDH,19.390003,-155.293995,Sand Hill,IRISDMC,2024-06-23T05:30:27Z,2024-06-23T05:30:55Z,12800
CAPELLA_C14_SP_CPHD_HH_20240620064136_20240620064205,28.8,HV,OTLD,19.386532,-155.281715,Outlet Digital,IRISDMC,2024-06-20T06:42:05Z,2024-06-20T06:42:33Z,12288
CAPELLA_C14_SP_CPHD_HH_20240620064136_20240620064205,28.8,HV,WRM,19.406623,-155.300005,West Rim Hawaii Digital,IRISDMC,2024-06-20T06:42:05Z,2024-06-20T06:42:33Z,12288
